Id,Date,Quantity
2354,2016-10-24,160.0
2354,2016-10-31,32.0
2354,2016-11-07,25.0
2354,2016-11-14,14.0
2354,2016-11-21,3.0
2354,2016-11-28,8.0
2354,2016-12-05,6.0
2354,2016-12-12,13.0
2354,2016-12-19,5.0
2354,2016-12-26,12.0
2354,2017-01-02,13.0
2354,2017-01-09,38.0
2354,2017-01-16,49.0
2354,2017-01-23,41.0
2354,2017-01-30,113.0
2354,2017-02-06,24.0
2354,2017-02-13,26.0
2354,2017-02-20,25.0
2354,2017-02-27,57.0
2354,2017-03-06,38.0
2354,2017-03-13,25.0
2354,2017-03-20,44.0
2354,2017-03-27,6.0
2354,2017-04-03,19.0
2354,2017-04-10,55.0
2354,2017-04-17,31.0
2354,2017-04-24,15.0
2354,2017-05-01,26.0
2354,2017-05-08,77.0
2354,2017-05-15,65.0
2354,2017-05-22,0.0
2354,2017-05-29,44.0
2354,2017-06-05,64.0
2354,2017-06-12,21.0
2354,2017-06-19,91.0
2354,2017-06-26,14.0
2354,2017-07-03,26.0
2354,2017-07-10,13.0
2354,2017-07-17,18.0
2354,2017-07-24,120.0
2354,2017-07-31,23.0
2354,2017-08-07,49.0
2354,2017-08-14,20.0
2354,2017-08-21,26.0
2354,2017-08-28,5.0
2354,2017-09-04,15.0
2354,2017-09-11,6.0
2354,2017-09-18,72.0
2354,2017-09-25,6.0
2354,2017-10-02,43.0
2354,2017-10-09,47.0
2354,2017-10-16,7.0
2354,2017-10-23,10.0
2354,2017-10-30,56.0
2354,2017-11-06,4.0
2354,2017-11-13,10.0
2354,2017-11-20,34.0
2354,2017-11-27,13.0
2354,2017-12-04,10.0
2354,2017-12-11,20.0
2354,2017-12-18,4.0
2354,2017-12-25,18.0
2354,2018-01-01,23.0
2354,2018-01-08,118.0
2354,2018-01-15,76.0
2354,2018-01-22,119.0
2354,2018-01-29,49.0
2354,2018-02-05,30.0
2354,2018-02-12,13.0
3134,2012-12-31,0.0
3134,2013-01-07,0.0
3134,2013-01-14,0.0
3134,2013-01-21,0.0
3134,2013-01-28,0.0
3134,2013-02-04,0.0
3134,2013-02-11,0.0
3134,2013-02-18,0.0
3134,2013-02-25,0.0
3134,2013-03-04,0.0
3134,2013-03-11,0.0
3134,2013-03-18,0.0
3134,2013-03-25,0.0
3134,2013-04-01,0.0
3134,2013-04-08,0.0
3134,2013-04-15,0.0
3134,2013-04-22,0.0
3134,2013-04-29,0.0
3134,2013-05-06,0.0
3134,2013-05-13,0.0
3134,2013-05-20,0.0
3134,2013-05-27,0.0
3134,2013-06-03,0.0
3134,2013-06-10,0.0
3134,2013-06-17,0.0
3134,2013-06-24,0.0
3134,2013-07-01,0.0
3134,2013-07-08,0.0
3134,2013-07-15,0.0
3134,2013-07-22,0.0
3134,2013-07-29,0.0
3134,2013-08-05,0.0
3134,2013-08-12,0.0
3134,2013-08-19,0.0
3134,2013-08-26,0.0
3134,2013-09-02,0.0
3134,2013-09-09,0.0
3134,2013-09-16,0.0
3134,2013-09-23,0.0
3134,2013-09-30,0.0
3134,2013-10-07,0.0
3134,2013-10-14,0.0
3134,2013-10-21,0.0
3134,2013-10-28,0.0
3134,2013-11-04,0.0
3134,2013-11-11,0.0
3134,2013-11-18,0.0
3134,2013-11-25,0.0
3134,2013-12-02,0.0
3134,2013-12-09,0.0
3134,2013-12-16,0.0
3134,2013-12-23,0.0
3134,2013-12-30,0.0
3134,2014-01-06,0.0
3134,2014-01-13,0.0
3134,2014-01-20,0.0
